volcano name,last eruption year,country,latitude,longitude,elevation
Golden Trout Creek,-5550,United States,36.358,-118.32,2886
Goodenough,Unknown,Papua New Guinea,-9.48,150.35,220
Gorely,2010,Russia,52.559,158.03,1799
Graciosa,-1950,Portugal,39.02,-27.97,402
Gran Canaria,40,Spain,28,-15.58,1950
Granada,Unknown,Nicaragua,11.92,-85.98,300
Grimsnes,-3500,Iceland,64.05,-20.883,200
Grimsvotn,2011,Iceland,64.416,-17.316,1719
Guagua Pichincha,2002,Ecuador,-0.171,-78.598,4784
Guayaques,Unknown,Chile-Bolivia,-22.895,-67.566,5598
Guazapa,Unknown,El Salvador,13.9,-89.12,1438
Gufa,Unknown,Eritrea-Djibouti,12.55,42.53,600
Guntur,1847,Indonesia,-7.143,107.84,2249
Hachijojima,1606,Japan,33.137,139.766,854
Hachimantai,-5350,Japan,39.958,140.854,1613
Hainan Volcanic Field,1933,China,19.905,110.229,196
Hakkodasan,1550,Japan,40.659,140.877,1585
Hakoneyama,2015,Japan,35.233,139.021,1438
Hakusan,1659,Japan,36.155,136.771,2702
Haleakala,1750,United States,20.708,-156.25,3055
Halla,1007,South Korea,33.361,126.53,1919
Hanish,Unknown,Yemen,13.72,42.73,422
Hargy,950,Papua New Guinea,-5.33,151.1,1148
Harrat Ash Shamah,1850,Syria-Jordan-Saudi Arabia,32.333,37.583,1100
Harunasan,550,Japan,36.477,138.851,1449
Hasan Dagi,Unknown,Turkey,38.13,34.17,3253
Haut Dong Nai,Unknown,Vietnam,11.6,108.2,1000
"Haylan, Jabal",-1200,Yemen,15.4,45.1,1550
Healy,1360,New Zealand,-35.004,178.973,-980
Heard,2020,Australia,-53.106,73.513,2745
Hekla,2000,Iceland,63.983,-19.666,1490
Helgrindur,Unknown,Iceland,64.866,-23.283,986
Hell's Half Acre,-3250,United States,43.5,-112.45,1631
Hengill,150,Iceland,64.083,-21.416,803
Hierro,2012,Spain,27.73,-18.03,1500
Hiuchigatake,1544,Japan,36.955,139.285,2356
Hodson,Unknown,United Kingdom,-56.712,-27.176,835
Hofsjokull,Unknown,Iceland,64.833,-18.766,1765
Hokkaido-Komagatake,2000,Japan,42.063,140.677,1131
